,Account,avg(Kwh),avg(Power_Factor),avg(KVRAh),Catergroy,Building,Day,Month,Year,TemperatureF,PointF,Humidity,PressureIn,VisibilityMiles,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,workingDay,Holiday
51,27369330017,150.9803261,0.836472642,55.71980728,SCH,LILLA FREDRICK,20,2,2014,41,27,60,30.12,9,9,0.08,4,Rain,257,1,0
52,27369330017,147.0592675,0.82884349,56.01338575,SCH,LILLA FREDRICK,21,2,2014,39,36,93,29.93,4,9,0.22,8,Fog-Rain-Thunderstorm,84,1,0
53,27369330017,127.8902442,0.80647152,50.03877895,SCH,LILLA FREDRICK,22,2,2014,42,27,64,29.92,10,14,0,1,,222,0,0
54,27369330017,124.7988017,0.82396452,45.08074588,SCH,LILLA FREDRICK,23,2,2014,43,26,56,29.91,10,6,0,6,,217,0,0
55,27369330017,169.8034043,0.828128738,70.98226162,SCH,LILLA FREDRICK,24,2,2014,35,11,41,29.81,10,16,0,4,,284,1,0
56,27369330017,173.4575967,0.826330826,71.330047,SCH,LILLA FREDRICK,25,2,2014,26,5,44,29.94,10,11,0,4,,277,1,0
57,27369330017,175.3321862,0.830776462,70.46462435,SCH,LILLA FREDRICK,26,2,2014,24,2,43,29.86,10,12,0,4,,259,1,0
58,27369330017,177.1629519,0.835996922,69.23314508,SCH,LILLA FREDRICK,27,2,2014,21,6,51,29.74,7,12,0.02,6,Snow,270,1,0
59,27369330017,175.0874811,0.8275478,69.26472231,SCH,LILLA FREDRICK,28,2,2014,18,-10,32,30.26,10,12,0,1,,285,1,0
60,27369330017,135.20327,0.799812764,51.58552894,SCH,LILLA FREDRICK,1,3,2014,26,7,40,30.31,10,6,0,4,,221,0,0
61,27369330017,127.831901,0.832821871,43.52437457,SCH,LILLA FREDRICK,2,3,2014,35,20,59,30.02,10,7,T,8,Snow,258,0,0
62,27369330017,175.312245,0.835229471,70.31285105,SCH,LILLA FREDRICK,3,3,2014,23,-1,39,30.14,10,12,0,6,,339,1,0
63,27369330017,175.2303541,0.82477681,72.15179097,SCH,LILLA FREDRICK,4,3,2014,22,-5,32,30.31,10,8,0,5,,280,1,0
64,27369330017,168.3297081,0.816616418,72.95578984,SCH,LILLA FREDRICK,5,3,2014,25,14,55,30.33,9,10,0,8,Snow,7,1,0
65,27369330017,171.8156287,0.810259691,74.09826024,SCH,LILLA FREDRICK,6,3,2014,18,1,46,30.58,10,7,0,1,,23,1,0
66,27369330017,166.8518025,0.810058381,73.79819658,SCH,LILLA FREDRICK,7,3,2014,25,18,64,30.27,10,5,0,5,,50,1,0
67,27369330017,125.4241242,0.769004824,55.6257691,SCH,LILLA FREDRICK,8,3,2014,41,23,54,29.8,10,8,0,4,,327,0,0
68,27369330017,119.6306949,0.784402826,46.07384984,SCH,LILLA FREDRICK,9,3,2014,37,8,35,29.9,10,11,0,5,,315,0,0
69,27369330017,164.0331056,0.812633371,73.46449799,SCH,LILLA FREDRICK,10,3,2014,36,23,60,29.79,7,8,0.03,8,Rain-Snow,216,1,0
70,27369330017,163.5348002,0.807691033,74.61953604,SCH,LILLA FREDRICK,11,3,2014,47,30,60,29.59,8,9,0,5,,254,1,0
71,27369330017,162.5135236,0.813310873,75.78658888,SCH,LILLA FREDRICK,12,3,2014,42,37,80,29.4,5,5,0.03,8,Rain,27,1,0
72,27369330017,164.628495,0.809335457,76.80146857,SCH,LILLA FREDRICK,13,3,2014,21,12,64,29.42,5,17,0.01,7,Rain-Snow,314,1,0
73,27369330017,163.9743912,0.805634925,74.64607761,SCH,LILLA FREDRICK,14,3,2014,28,8,44,30.05,10,14,0,3,,234,1,0
74,27369330017,121.5303448,0.779404335,54.07370909,SCH,LILLA FREDRICK,15,3,2014,48,30,56,29.77,10,15,0.01,5,Rain,248,0,0
75,27369330017,118.2947358,0.804117506,44.2466662,SCH,LILLA FREDRICK,16,3,2014,30,6,38,30.07,10,16,0,4,,295,0,0
76,27369330017,136.950281,0.776593756,57.11602736,SCH,LILLA FREDRICK,17,3,2014,22,0,43,30.14,10,8,0,5,,15,1,1
77,27369330017,166.0112502,0.806178304,73.215188,SCH,LILLA FREDRICK,18,3,2014,27,10,51,30.31,10,8,0,1,,59,1,0
78,27369330017,162.2748505,0.801324353,73.84363529,SCH,LILLA FREDRICK,19,3,2014,34,25,71,30.26,10,10,T,4,,76,1,0
79,27369330017,162.0982686,0.806969608,73.53089245,SCH,LILLA FREDRICK,20,3,2014,45,34,70,29.71,7,12,0.29,6,Rain,304,1,0
80,27369330017,159.917799,0.805054143,72.43003112,SCH,LILLA FREDRICK,21,3,2014,40,20,46,29.86,10,17,0,3,,273,1,0
81,27369330017,118.5578878,0.764036626,53.18318697,SCH,LILLA FREDRICK,22,3,2014,43,24,52,29.89,10,14,T,3,Rain,242,0,0
82,27369330017,113.3121929,0.786432249,44.82935602,SCH,LILLA FREDRICK,23,3,2014,33,13,42,29.97,10,13,0,7,,287,0,0
83,27369330017,164.4551985,0.809417153,73.49774433,SCH,LILLA FREDRICK,24,3,2014,25,-4,32,30.12,10,13,0,1,,321,1,0
84,27369330017,163.0967623,0.807604482,71.89738777,SCH,LILLA FREDRICK,25,3,2014,30,8,37,30.08,10,10,0,5,,219,1,0
85,27369330017,163.3427025,0.815943896,70.82927502,SCH,LILLA FREDRICK,26,3,2014,30,7,39,29.74,10,26,T,7,Snow,345,1,0
86,27369330017,164.4598174,0.809734966,71.73159611,SCH,LILLA FREDRICK,27,3,2014,34,1,27,30.24,10,14,0,3,,264,1,0
87,27369330017,156.3219429,0.805606232,72.19823689,SCH,LILLA FREDRICK,28,3,2014,48,36,66,30.07,10,14,0.02,8,Rain,217,1,0
88,27369330017,114.8117581,0.755781471,52.28851305,SCH,LILLA FREDRICK,29,3,2014,46,39,77,30.15,7,13,0.97,6,Rain,28,0,0
89,27369330017,108.8023339,0.786293463,43.19243331,SCH,LILLA FREDRICK,30,3,2014,40,37,91,29.71,3,17,2.23,8,Fog-Rain,16,0,0
90,27369330017,158.6443263,0.814691791,71.73146255,SCH,LILLA FREDRICK,31,3,2014,38,31,76,29.81,5,13,0.44,8,Rain-Snow,2,1,0
91,27369330017,158.956956,0.802066619,72.31656786,SCH,LILLA FREDRICK,1,4,2014,41,28,60,30.05,10,10,0,5,,28,1,0
92,27369330017,157.0767687,0.793071583,72.10924547,SCH,LILLA FREDRICK,2,4,2014,42,32,68,30.08,10,6,0,5,,37,1,0
93,27369330017,154.5990332,0.795197393,71.2095104,SCH,LILLA FREDRICK,3,4,2014,44,27,59,30.08,10,9,0,1,,11,1,0
94,27369330017,151.6650728,0.803163618,69.67400169,SCH,LILLA FREDRICK,4,4,2014,41,32,76,30.08,9,11,0.26,7,Rain,80,1,0
95,27369330017,112.6955779,0.783047508,47.05795412,SCH,LILLA FREDRICK,5,4,2014,46,34,67,29.79,7,14,0.23,7,Rain,329,0,0
96,27369330017,109.6174552,0.795713301,40.982203,SCH,LILLA FREDRICK,6,4,2014,47,20,37,30.08,10,9,0,0,,283,0,0
97,27369330017,152.7872283,0.814710715,68.48730571,SCH,LILLA FREDRICK,7,4,2014,49,30,59,30.14,9,8,0.04,7,Rain,139,1,0
98,27369330017,150.4877234,0.814271777,67.42723092,SCH,LILLA FREDRICK,8,4,2014,54,47,76,29.51,5,13,0.67,7,Rain,173,1,0
99,27369330017,151.0057648,0.807134314,66.96195894,SCH,LILLA FREDRICK,9,4,2014,50,26,45,29.67,10,13,0,2,,305,1,0
100,27369330017,150.722917,0.80386647,66.72238163,SCH,LILLA FREDRICK,10,4,2014,47,21,43,30.07,10,14,0,1,,220,1,0
101,27369330017,144.7142345,0.806131117,66.57164265,SCH,LILLA FREDRICK,11,4,2014,59,40,55,29.97,10,10,T,7,Rain,231,1,0
102,27369330017,101.2995746,0.75730067,46.40643572,SCH,LILLA FREDRICK,12,4,2014,59,35,53,30.11,10,9,0.04,4,Rain,280,0,0
103,27369330017,94.73829992,0.770093802,37.83386849,SCH,LILLA FREDRICK,13,4,2014,54,41,68,30.16,10,8,0.04,7,Rain,138,0,0
104,27369330017,144.5358166,0.795845271,68.18434363,SCH,LILLA FREDRICK,14,4,2014,66,52,63,29.95,10,22,0,6,,211,1,0
105,27369330017,147.6863471,0.802571645,69.90576642,SCH,LILLA FREDRICK,15,4,2014,55,55,77,29.72,6,24,0.62,8,Rain,209,1,0
106,27369330017,154.0318521,0.804951389,69.74357885,SCH,LILLA FREDRICK,16,4,2014,38,24,57,30.12,8,15,0.36,5,Rain-Snow,325,1,0
107,27369330017,154.6995961,0.801539614,69.8860826,SCH,LILLA FREDRICK,17,4,2014,36,23,61,30.75,10,14,0,3,,51,1,0
108,27369330017,123.4419906,0.776517005,48.18988613,SCH,LILLA FREDRICK,18,4,2014,37,30,75,30.47,10,9,0,7,,73,1,0
109,27369330017,112.1730019,0.747771165,50.65901653,SCH,LILLA FREDRICK,19,4,2014,50,30,56,30.24,10,12,0,4,,299,0,0
110,27369330017,109.7597519,0.775454242,42.96734383,SCH,LILLA FREDRICK,20,4,2014,44,27,57,30.46,10,9,0,3,,83,0,0
111,27369330017,105.1710363,0.775450621,43.74496147,SCH,LILLA FREDRICK,21,4,2014,53,32,52,30.08,10,9,0,4,,195,1,1
112,27369330017,128.8229126,0.790669328,52.88777167,SCH,LILLA FREDRICK,22,4,2014,60,42,62,29.62,10,12,0.05,5,Rain,205,1,0
113,27369330017,131.319667,0.814140262,51.880592,SCH,LILLA FREDRICK,23,4,2014,52,43,72,29.48,8,15,0.23,7,Rain,296,1,0
114,27369330017,126.3018795,0.773141869,54.22481319,SCH,LILLA FREDRICK,24,4,2014,51,23,37,29.72,10,21,0,1,,320,1,0
